IATA,IACO,name,city,province,state,country,wiki,lat,lng
YMX,CYMX,Montréal-Mirabel International Airport,Mirabel (near Montreal),, Quebec, Canada,http://en.wikipedia.org/wiki/Montr%C3%A9al-Mirabel_International_Airport#,45.6779,-74.0386
YUL,CYUL,Montréal–Pierre Elliott Trudeau International Airport,Dorval,, Quebec, Canada,http://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Pierre_Elliott_Trudeau_International_Airport#,45.4706,-73.7408
YAD,,Moose Lake Airport (TC: CJB4),Moose Lake,, Manitoba, Canada,http://en.wikipedia.org/wiki/Moose_Lake_Airport#,53.5717,-76.1964
YMO,CYMO,Moosonee Airport,Moosonee,, Ontario, Canada,http://en.wikipedia.org/wiki/Moosonee_Airport#,51.2911,-80.6078
YMD,CYMD,Mould Bay Airport,Mould Bay,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Mould_Bay_Airport#,,
YQA,CYQA,Muskoka Airport,Muskoka,, Ontario, Canada,http://en.wikipedia.org/wiki/Muskoka_Airport#,44.9747,-79.3033
MSA,CZMD,Muskrat Dam Airport,Muskrat Dam,, Ontario, Canada,http://en.wikipedia.org/wiki/Muskrat_Dam_Airport#,53.4411,-91.7631
YDP,CYDP,Nain Airport,Nain,, Newfoundland and Labrador, Canada,http://en.wikipedia.org/wiki/Nain_Airport#,56.55,-61.683
YQN,CYQN,Nakina Airport,Nakina,, Ontario, Canada,http://en.wikipedia.org/wiki/Nakina_Airport#,50.1828,-86.6964
ZNU,,Namu Airport,Namu,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Namu_Airport&action=edit&redlink=1#,,
YCD,CYCD,Nanaimo Airport,Nanaimo,, British Columbia, Canada,http://en.wikipedia.org/wiki/Nanaimo_Airport#,49.0522,-123.8703
ZNA,,Nanaimo Harbour Water Airport (TC: CAC8),Nanaimo,, British Columbia, Canada,http://en.wikipedia.org/wiki/Nanaimo_Harbour_Water_Airport#,49.1833,-123.95
YSR,CYSR,Nanisivik Airport,Nanisivik,, Nunavut, Canada,http://en.wikipedia.org/wiki/Nanisivik_Airport#,72.9822,-84.6136
YNA,CYNA,Natashquan Airport,Natashquan,, Quebec, Canada,http://en.wikipedia.org/wiki/Natashquan_Airport#,50.19,-61.7889
ZNG,,Negginan Airport,Negginan,, Manitoba, Canada,http://en.wikipedia.org/w/index.php?title=Negginan_Airport&action=edit&redlink=1#,,
YNS,CYHH,Nemiscau Airport,Nemiscau,, Quebec, Canada,http://en.wikipedia.org/wiki/Nemiscau_Airport#,51.6908,-76.135
YBD,,New Westminster Airport,New Westminster,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=New_Westminster_Airport&action=edit&redlink=1#,,
YNI,CYNI,Nitchequon Airport,Nitchequon,, Quebec, Canada,http://en.wikipedia.org/w/index.php?title=Nitchequon_Airport&action=edit&redlink=1#,,
YNK,,Nootka Sound Airport,Nootka Sound,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Nootka_Sound_Airport&action=edit&redlink=1#,,
YVQ,CYVQ,Norman Wells Airport,Norman Wells,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Norman_Wells_Airport#,65.2816,-126.7983
YQW,CYQW,North Battleford Airport,North Battleford,, Saskatchewan, Canada,http://en.wikipedia.org/wiki/North_Battleford_Airport#,52.7692,-108.2436
YYB,CYYB,North Bay/Jack Garland Airport,North Bay,, Ontario, Canada,http://en.wikipedia.org/wiki/North_Bay/Jack_Garland_Airport#,46.3636,-79.4228
YNO,,North Spirit Lake Airport (TC: CKQ3),North Spirit Lake,, Ontario, Canada,http://en.wikipedia.org/wiki/North_Spirit_Lake_Airport#,52.4906,-92.9731
YNE,CYNE,Norway House Airport,Norway House,, Manitoba, Canada,http://en.wikipedia.org/wiki/Norway_House_Airport#,53.9583,-97.8442
YDW,,Obre Lake/North of Sixty Airport (TC: CKV4),Obre Lake,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Obre_Lake/North_of_Sixty_Airport#,,
ZOF,,Ocean Falls Airport,Ocean Falls,, British Columbia, Canada,http://en.wikipedia.org/wiki/Ocean_Falls_Airport#,,
YOG,,Ogoki Post Airport (TC: CNT3),Ogoki Post,, Ontario, Canada,http://en.wikipedia.org/wiki/Ogoki_Post_Airport#,51.6578,-85.9008
YOC,CYOC,Old Crow Airport,Old Crow,, Yukon, Canada,http://en.wikipedia.org/wiki/Old_Crow_Airport#,67.5706,-139.8392
ZFB,,Old Fort Bay Airport,Old Fort Bay,, Quebec, Canada,http://en.wikipedia.org/w/index.php?title=Old_Fort_Bay_Airport&action=edit&redlink=1#,,
